ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2022-07-22T00:00:00.000000000Z,35,2,7370,263.530000000,265.800000000,259.080000000,260.240000000,6884772,MSFT
2022-07-22T00:00:00.000000000Z,35,2,7903,177.900000000,179.630000000,171.370000000,172.350000000,9659498,NVDA
2022-07-22T00:00:00.000000000Z,35,2,529,90.390000000,90.680000000,87.040000000,87.900000000,11835108,AMD
2022-07-22T00:00:00.000000000Z,35,2,10993,808.750000000,842.430000000,806.020000000,815.000000000,6733153,TSLA
2022-07-22T00:00:00.000000000Z,35,2,586,123.730000000,125.490000000,121.360000000,122.300000000,11520461,AMZN
2022-07-22T00:00:00.000000000Z,35,2,4583,25.690000000,26.540000000,25.305000000,25.430000000,3417014,GDX
2022-07-22T00:00:00.000000000Z,35,2,7068,174.790000000,175.730000000,168.410000000,169.100000000,9439496,META
2022-07-22T00:00:00.000000000Z,35,2,10293,397.100000000,400.180000000,392.760000000,394.160000000,8401069,SPY
2022-07-22T00:00:00.000000000Z,35,2,4848,111.410000000,112.330000000,106.880000000,108.000000000,13477689,GOOGL
2022-07-22T00:00:00.000000000Z,35,2,27,154.860000000,156.280000000,153.415000000,153.900000000,14808629,AAPL
2022-07-22T00:00:00.000000000Z,35,2,7621,221.460000000,229.380000000,218.450000000,220.160000000,3117738,NFLX
2022-07-25T00:00:00.000000000Z,35,2,27,154.080000000,155.300000000,152.200000000,152.680000000,12418255,AAPL
2022-07-25T00:00:00.000000000Z,35,2,8158,74.570000000,75.420000000,74.340000000,75.080000000,678101,ORCL
2022-07-25T00:00:00.000000000Z,35,2,10990,817.290000000,829.790000000,800.020000000,800.330000000,4497345,TSLA
2022-07-25T00:00:00.000000000Z,35,2,4582,25.570000000,25.570000000,24.380000000,24.630000000,3527413,GDX
2022-07-25T00:00:00.000000000Z,35,2,10291,394.630000000,397.500000000,393.000000000,394.200000000,7054753,SPY
2022-07-25T00:00:00.000000000Z,35,2,7371,260.510000000,262.300000000,256.830000000,258.350000000,5896597,MSFT
2022-07-25T00:00:00.000000000Z,35,2,4849,108.230000000,109.870000000,106.300000000,107.000000000,10513725,GOOGL
2022-07-25T00:00:00.000000000Z,35,2,7622,220.150000000,225.240000000,216.370000000,217.430000000,2191784,NFLX
2022-07-25T00:00:00.000000000Z,35,2,529,88.160000000,88.710000000,85.120000000,87.270000000,8663788,AMD
2022-07-25T00:00:00.000000000Z,35,2,7904,172.740000000,174.550000000,166.480000000,169.490000000,8550200,NVDA
2022-07-25T00:00:00.000000000Z,35,2,9501,140.560000000,140.970000000,139.710000000,140.710000000,145355,RSP
2022-07-25T00:00:00.000000000Z,35,2,586,122.420000000,123.710000000,115.650000000,116.420000000,11613549,AMZN
2022-07-25T00:00:00.000000000Z,35,2,7069,169.380000000,170.550000000,164.590000000,165.750000000,5611342,META
2022-07-26T00:00:00.000000000Z,35,2,7070,166.710000000,166.900000000,157.950000000,163.300000000,6615573,META
2022-07-26T00:00:00.000000000Z,35,2,10990,800.000000000,804.300000000,768.820000000,787.000000000,4698865,TSLA
2022-07-26T00:00:00.000000000Z,35,2,7624,217.250000000,219.380000000,211.660000000,215.690000000,2207869,NFLX
2022-07-26T00:00:00.000000000Z,35,2,27,152.700000000,153.085000000,150.800000000,152.820000000,14043252,AAPL
2022-07-26T00:00:00.000000000Z,35,2,4583,24.630000000,25.170000000,24.500000000,25.170000000,2627923,GDX
2022-07-26T00:00:00.000000000Z,35,2,7906,169.430000000,169.970000000,164.500000000,169.200000000,6716042,NVDA
2022-07-26T00:00:00.000000000Z,35,2,8160,75.100000000,75.295000000,73.705000000,74.300000000,1029017,ORCL
2022-07-26T00:00:00.000000000Z,35,2,9501,140.690000000,140.690000000,139.250000000,139.560000000,122222,RSP
2022-07-26T00:00:00.000000000Z,35,2,7373,258.730000000,268.760000000,243.030000000,262.000000000,11132739,MSFT
2022-07-26T00:00:00.000000000Z,35,2,4850,107.430000000,111.020000000,104.060000000,110.200000000,15422001,GOOGL
2022-07-26T00:00:00.000000000Z,35,2,10291,394.860000000,395.230000000,389.950000000,394.000000000,7239999,SPY
2022-07-26T00:00:00.000000000Z,35,2,586,116.970000000,118.200000000,114.530000000,117.400000000,14985541,AMZN
2022-07-26T00:00:00.000000000Z,35,2,529,87.340000000,88.000000000,84.710000000,86.500000000,9120267,AMD
2022-07-27T00:00:00.000000000Z,35,2,586,117.400000000,121.910000000,116.210000000,120.620000000,15038616,AMZN
